,16,00,กรุงเทพมหานคร,บางกอกใหญ่,
,,01,กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ
,,02,กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ
,17,00,กรุงเทพมหานคร,ห้วยขวาง,
,,01,กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง
,,02,กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ
,,04,กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก
,18,00,กรุงเทพมหานคร,คลองสาน,
,,01,กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา
,,02,กรุงเทพมหานคร,คลองสาน,คลองสาน
,,03,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง
,,04,กรุงเทพมหานคร,คลองสาน,คลองต้นไทร
,19,00,กรุงเทพมหานคร,ตลิ่งชัน,
,,01,กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ
,,02,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
,,03,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
,,04,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
,,05,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด
,,07,กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง
,20,00,กรุงเทพมหานคร,บางกอกน้อย,
,,04,กรุงเทพมหานคร,บางกอกน้อย,ศิริราช
,,05,กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ
,,06,กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์
,,07,กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี
,,09,กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์
,21,00,กรุงเทพมหานคร,บางขุนเทียน,
,,05,กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม
,,07,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
,22,00,กรุงเทพมหานคร,ภาษีเจริญ,
,,01,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า
,,02,กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน
,,06,กรุงเทพมหานคร,ภาษีเจริญ,บางจาก
,,07,กรุงเทพมหานคร,ภาษีเจริญ,บางแวก
,,08,กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง
,,09,กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ
,,10,กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์
,23,00,กรุงเทพมหานคร,หนองแขม,
,,02,กรุงเทพมหานคร,หนองแขม,หนองแขม
,,03,กรุงเทพมหานคร,หนองแขม,หนองค้างพลู
,24,00,กรุงเทพมหานคร,ราษฎร์บูรณะ,
,,01,กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ
,,02,กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก
,25,00,กรุงเทพมหานคร,บางพลัด,
,,01,กรุงเทพมหานคร,บางพลัด,บางพลัด
,,02,กรุงเทพมหานคร,บางพลัด,บางอ้อ
,,03,กรุงเทพมหานคร,บางพลัด,บางบำหรุ
,,04,กรุงเทพมหานคร,บางพลัด,บางยี่ขัน
,26,00,กรุงเทพมหานคร,ดินแดง,
,,01,กรุงเทพมหานคร,ดินแดง,ดินแดง
,,02,กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก
,27,00,กรุงเทพมหานคร,บึงกุ่ม,
,,01,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
,,04,กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์
,,05,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์
,28,00,กรุงเทพมหานคร,สาทร,
,,01,กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน
,,02,กรุงเทพมหานคร,สาทร,ยานนาวา
,,03,กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ
,29,00,กรุงเทพมหานคร,บางซื่อ,
,,01,กรุงเทพมหานคร,บางซื่อ,บางซื่อ
,,02,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง
,30,00,กรุงเทพมหานคร,จตุจักร,
,,01,กรุงเทพมหานคร,จตุจักร,ลาดยาว
,,02,กรุงเทพมหานคร,จตุจักร,เสนานิคม
,,03,กรุงเทพมหานคร,จตุจักร,จันทรเกษม
,,04,กรุงเทพมหานคร,จตุจักร,จอมพล
,,05,กรุงเทพมหานคร,จตุจักร,จตุจักร
,31,00,กรุงเทพมหานคร,บางคอแหลม,
,,01,กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม
,,02,กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร
,,03,กรุงเทพมหานคร,บางคอแหลม,บางโคล่
,32,00,กรุงเทพมหานคร,ประเวศ,
,,01,กรุงเทพมหานคร,ประเวศ,ประเวศ
,,02,กรุงเทพมหานคร,ประเวศ,หนองบอน
,,03,กรุงเทพมหานคร,ประเวศ,ดอกไม้
,33,00,กรุงเทพมหานคร,คลองเตย,
,,01,กรุงเทพมหานคร,คลองเตย,คลองเตย
,,02,กรุงเทพมหานคร,คลองเตย,คลองตัน
,,03,กรุงเทพมหานคร,คลองเตย,พระโขนง
,34,00,กรุงเทพมหานคร,สวนหลวง,
,,01,กรุงเทพมหานคร,สวนหลวง,สวนหลวง
,,02,กรุงเทพมหานคร,สวนหลวง,อ่อนนุช
,,03,กรุงเทพมหานคร,สวนหลวง,พัฒนาการ
,35,00,กรุงเทพมหานคร,จอมทอง,
,,01,กรุงเทพมหานคร,จอมทอง,บางขุนเทียน
,,02,กรุงเทพมหานคร,จอมทอง,บางค้อ
,,03,กรุงเทพมหานคร,จอมทอง,บางมด
,,04,กรุงเทพมหานคร,จอมทอง,จอมทอง
,36,00,กรุงเทพมหานคร,ดอนเมือง,
,,02,กรุงเทพมหานคร,ดอนเมือง,สีกัน
,,04,กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง
,,05,กรุงเทพมหานคร,ดอนเมือง,สนามบิน
,37,00,กรุงเทพมหานคร,ราชเทวี,
,,01,กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท
,,02,กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท
,,03,กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี
,,04,กรุงเทพมหานคร,ราชเทวี,มักกะสัน
,38,00,กรุงเทพมหานคร,ลาดพร้าว,
,,01,กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว
,,02,กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว
,39,00,กรุงเทพมหานคร,วัฒนา,
,,01,กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ
,,02,กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ
,,03,กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ
,40,00,กรุงเทพมหานคร,บางแค,
,,01,กรุงเทพมหานคร,บางแค,บางแค
,,02,กรุงเทพมหานคร,บางแค,บางแคเหนือ
,,03,กรุงเทพมหานคร,บางแค,บางไผ่
,,04,กรุงเทพมหานคร,บางแค,หลักสอง
,41,00,กรุงเทพมหานคร,หลักสี่,
,,01,กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง
,,02,กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน
,42,00,กรุงเทพมหานคร,สายไหม,
,,01,กรุงเทพมหานคร,สายไหม,สายไหม
,,02,กรุงเทพมหานคร,สายไหม,ออเงิน
,,03,กรุงเทพมหานคร,สายไหม,คลองถนน
,43,00,กรุงเทพมหานคร,คันนายาว,
,,01,กรุงเทพมหานคร,คันนายาว,คันนายาว
,,02,กรุงเทพมหานคร,คันนายาว,รามอินทรา
,44,00,กรุงเทพมหานคร,สะพานสูง,
,,01,กรุงเทพมหานคร,สะพานสูง,สะพานสูง
,,02,กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา
,,03,กรุงเทพมหานคร,สะพานสูง,ทับช้าง
,45,00,กรุงเทพมหานคร,วังทองหลาง,
,,01,กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง
,,02,กรุงเทพมหานคร,วังทองหลาง,สะพานสอง
,,03,กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์
,,04,กรุงเทพมหานคร,วังทองหลาง,พลับพลา
,46,00,กรุงเทพมหานคร,คลองสามวา,
,,01,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก
,,02,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก
