256,ไทยใหญ่(ผู้หลบหนีเข้าเมือง)
257,กัมพูชา(ผู้หลบหนีเข้าเมือง)
258,มอญ(ชุมชนบนพื้นที่สูง)
259,กะเหรี่ยง(ชุมชนบนพื้นที่สูง)
260,ปาเลสไตน์
261,ติมอร์ตะวันออก
262,สละสัญชาติไทย
263,เซอร์เบีย แอนด์ มอนเตเนโกร
264,กัมพูชา(แรงงาน)
265,พม่า(แรงงาน)
266,ลาว(แรงงาน)
267,เซอร์เบียน
268,มอนเตเนกริน
270,กาบูเวร์ดี
271,คอซอวอ
601,เบลเยี่ยม
989,บุคคลที่ไม่มีสถานะทางทะเบียน
